weight;date;price
0.002796;2010-03-13;84.477
0.002996;2010-03-14;56.816
0.002796;2010-03-15;26.175
0.002796;2010-03-16;44.074
0.002496;2010-03-17;64.646
0.002796;2010-03-18;8.431
0.002796;2010-03-19;37.696
0.002796;2010-03-20;34.609
0.002796;2010-03-21;59.056
0.002796;2010-03-22;96.092
0.002796;2010-03-23;50.038
0.002896;2010-03-24;72.481
0.002897;2010-03-25;36.786
0.002898;2010-03-26;51.388
0.002899;2010-03-27;32.746
0.002696;2010-03-28;65.646
0.002796;2010-03-29;32.447
0.002996;2010-03-30;63.577
0.002796;2010-03-31;55.888
0.002796;2010-04-01;98.929
0.002496;2010-04-02;16.981
0.002796;2010-04-03;93.528
0.002796;2010-04-04;53.253
0.002796;2010-04-05;56.275
0.002796;2010-04-06;15.915
0.002796;2010-04-07;65.026
0.002796;2010-04-08;84.221
0.002896;2010-04-09;37.280
0.002897;2010-04-10;28.980
0.002898;2010-04-11;84.586
0.002899;2010-04-12;8.015
0.002696;2010-04-13;41.329
0.002796;2010-04-14;64.857
0.002996;2010-04-15;6.884
0.002796;2010-04-16;90.955
0.002796;2010-04-17;14.957
0.002496;2010-04-18;2.335
0.002796;2010-04-19;12.396
0.002796;2010-04-20;61.697
0.002796;2010-04-21;67.311
0.002796;2010-04-22;91.343
0.002796;2010-04-23;85.135
0.002796;2010-04-24;89.076
0.002896;2010-04-25;73.133
0.002897;2010-04-26;21.887
0.002898;2010-04-27;16.129
0.002899;2010-04-28;99.691
0.002696;2010-04-29;14.584
0.002796;2010-04-30;55.463
0.002996;2010-05-01;50.301
0.002796;2010-05-02;47.486
0.002796;2010-05-03;62.764
0.002496;2010-05-04;42.969
0.002796;2010-05-05;98.243
0.002796;2010-05-06;40.537
0.002796;2010-05-07;91.568
0.002796;2010-05-08;61.566
0.002796;2010-05-09;48.798
0.002796;2010-05-10;7.224
0.002896;2010-05-11;23.275
0.002897;2010-05-12;18.133
0.002898;2010-05-13;67.782
0.002899;2010-05-14;68.970
0.002696;2010-05-15;88.715
0.002796;2010-05-16;14.864
0.002996;2010-05-17;89.133
0.002796;2010-05-18;96.793
0.002796;2010-05-19;44.723
0.002496;2010-05-20;91.773
0.002796;2010-05-21;66.758
0.002796;2010-05-22;23.308
0.002796;2010-05-23;65.853
0.002796;2010-05-24;49.827
0.002796;2010-05-25;5.657
0.002796;2010-05-26;70.319
0.002896;2010-05-27;2.178
0.002897;2010-05-28;30.377
0.002898;2010-05-29;40.162
0.002899;2010-05-30;14.957
0.002696;2010-05-31;69.909
0.002796;2010-06-01;46.912
0.002996;2010-06-02;76.162
0.002796;2010-06-03;78.333
0.002796;2010-06-04;87.354
0.002496;2010-06-05;13.403
0.002796;2010-06-06;90.458
0.002796;2010-06-07;66.435
0.002796;2010-06-08;1.181
0.002796;2010-06-09;77.897
0.002796;2010-06-10;99.370
0.002796;2010-06-11;85.483
0.002896;2010-06-12;60.726
0.002897;2010-06-13;94.293
0.002898;2010-06-14;94.462
0.002899;2010-06-15;47.714
0.002696;2010-06-16;33.457
0.002796;2010-06-17;4.756
0.002996;2010-06-18;42.004
0.002796;2010-06-19;75.004
0.002796;2010-06-20;21.025
0.002496;2010-06-21;67.157
0.002796;2010-06-22;11.244
0.002796;2010-06-23;53.133
0.002796;2010-06-24;98.521
0.002796;2010-06-25;56.395
0.002796;2010-06-26;59.897
0.002796;2010-06-27;61.280
0.002896;2010-06-28;76.804
0.002897;2010-06-29;99.477
0.002898;2010-06-30;3.343
0.002899;2010-07-01;13.281
0.002696;2010-07-02;58.756
0.002796;2010-07-03;97.823
0.002996;2010-07-04;71.994
0.002796;2010-07-05;4.169
0.002796;2010-07-06;38.982
0.002496;2010-07-07;25.525
0.002796;2010-07-08;19.638
0.002796;2010-07-09;58.864
0.002796;2010-07-10;65.098
0.002796;2010-07-11;97.011
0.002796;2010-07-12;38.818
0.002796;2010-07-13;87.201
0.002896;2010-07-14;55.688
0.002897;2010-07-15;40.125
0.002898;2010-07-16;29.183
0.002899;2010-07-17;1.555
0.002696;2010-07-18;91.605
0.002796;2010-07-19;10.211
0.002996;2010-07-20;14.236
0.002796;2010-07-21;91.534
0.002796;2010-07-22;18.658
0.002496;2010-07-23;88.658
0.002796;2010-07-24;23.699
0.002796;2010-07-25;60.404
0.002796;2010-07-26;94.253
0.002796;2010-07-27;46.864
0.002796;2010-07-28;27.098
0.002796;2010-07-29;25.243
0.002896;2010-07-30;5.040
0.002897;2010-07-31;95.247
0.002898;2010-08-01;7.042
0.002899;2010-08-02;53.633
0.002696;2010-08-03;37.954
0.002796;2010-08-04;97.452
0.002996;2010-08-05;84.318
0.002796;2010-08-06;31.078
0.002796;2010-08-07;52.776
0.002496;2010-08-08;9.040
0.002796;2010-08-09;8.668
0.002796;2010-08-10;81.693
0.002796;2010-08-11;18.014
0.002796;2010-08-12;84.012
0.002796;2010-08-13;67.829
0.002796;2010-08-14;19.274
0.002896;2010-08-15;63.742
0.002897;2010-08-16;2.363
0.002898;2010-08-17;43.653
0.002899;2010-08-18;92.467
0.002696;2010-08-19;97.999
0.002796;2010-08-20;41.067
0.002996;2010-08-21;91.163
0.002796;2010-08-22;15.825
0.002796;2010-08-23;15.426
0.002496;2010-08-24;7.319
0.002796;2010-08-25;81.957
0.002796;2010-08-26;10.597
0.002796;2010-08-27;14.028
0.002796;2010-08-28;10.065
0.002796;2010-08-29;81.842
0.002796;2010-08-30;55.013
0.002896;2010-08-31;39.718
0.002897;2010-09-01;53.751
0.002898;2010-09-02;87.826
0.002899;2010-09-03;29.711
0.002696;2010-09-04;50.649
0.002796;2010-09-05;45.209
0.002996;2010-09-06;82.140
0.002796;2010-09-07;11.673
0.002796;2010-09-08;28.393
0.002496;2010-09-09;18.535
0.002796;2010-09-10;94.247
0.002796;2010-09-11;23.249
0.002796;2010-09-12;12.082
0.002796;2010-09-13;6.324
0.002796;2010-09-14;1.435
0.002796;2010-09-15;99.780
0.002896;2010-09-16;88.275
0.002897;2010-09-17;87.533
0.002898;2010-09-18;36.733
0.002899;2010-09-19;16.678
0.002696;2010-09-20;50.312
0.002796;2010-09-21;94.360
0.002996;2010-09-22;46.045
0.002796;2010-09-23;18.699
0.002796;2010-09-24;77.039
0.002496;2010-09-25;52.800
0.002796;2010-09-26;45.290
0.002796;2010-09-27;91.284
0.002796;2010-09-28;23.821
0.002796;2010-09-29;89.988
0.002796;2010-09-30;54.465
0.002796;2010-10-01;89.676
0.002896;2010-10-02;64.764
0.002897;2010-10-03;21.248
0.002898;2010-10-04;16.283
0.002899;2010-10-05;69.375
0.002696;2010-10-06;10.625
0.002796;2010-10-07;45.361
0.002996;2010-10-08;1.180
0.002796;2010-10-09;1.424
0.002796;2010-10-10;52.973
0.002496;2010-10-11;62.575
0.002796;2010-10-12;83.106
0.002796;2010-10-13;36.519
0.002796;2010-10-14;24.560
0.002796;2010-10-15;25.032
0.002796;2010-10-16;70.848
0.002796;2010-10-17;3.441
0.002896;2010-10-18;40.124
0.002897;2010-10-19;11.470
0.002898;2010-10-20;60.746
0.002899;2010-10-21;49.412
0.002696;2010-10-22;51.756
0.002796;2010-10-23;25.630
0.002996;2010-10-24;31.910
0.002796;2010-10-25;39.020
0.002796;2010-10-26;54.713
0.002496;2010-10-27;56.418
0.002796;2010-10-28;20.840
0.002796;2010-10-29;75.515
0.002796;2010-10-30;1.187
0.002796;2010-10-31;54.235
0.002796;2010-11-01;0.842
0.002796;2010-11-02;18.337
0.002896;2010-11-03;62.327
0.002897;2010-11-04;61.918
0.002898;2010-11-05;42.154
0.002899;2010-11-06;51.124
0.002696;2010-11-07;32.177
0.002796;2010-11-08;21.541
0.002996;2010-11-09;5.018
0.002796;2010-11-10;55.530
0.002796;2010-11-11;45.659
0.002496;2010-11-12;57.846
0.002796;2010-11-13;85.566
0.002796;2010-11-14;71.209
0.002796;2010-11-15;24.756
0.002796;2010-11-16;82.648
0.002796;2010-11-17;46.941
0.002796;2010-11-18;76.865
0.002896;2010-11-19;58.789
0.002897;2010-11-20;19.152
0.002898;2010-11-21;77.852
0.002899;2010-11-22;56.005
0.002696;2010-11-23;75.446
0.002796;2010-11-24;46.782
0.002996;2010-11-25;92.014
0.002796;2010-11-26;50.250
0.002796;2010-11-27;49.739
0.002496;2010-11-28;51.954
0.002796;2010-11-29;16.314
0.002796;2010-11-30;33.533
0.002796;2010-12-01;69.674
0.002796;2010-12-02;44.268
0.002796;2010-12-03;96.296
0.002796;2010-12-04;31.133
0.002896;2010-12-05;86.241
0.002897;2010-12-06;51.245
0.002898;2010-12-07;99.766
0.002899;2010-12-08;76.408
0.002696;2010-12-09;97.379
0.002796;2010-12-10;98.716
0.002996;2010-12-11;67.722
0.002796;2010-12-12;93.956
0.002796;2010-12-13;95.330
0.002496;2010-12-14;83.113
0.002796;2010-12-15;79.347
0.002796;2010-12-16;15.189
0.002796;2010-12-17;3.296
0.002796;2010-12-18;92.903
0.002796;2010-12-19;69.890
0.002796;2010-12-20;83.682
0.002896;2010-12-21;16.563
0.002897;2010-12-22;67.003
0.002898;2010-12-23;13.954
0.002899;2010-12-24;85.295
0.002696;2010-12-25;76.936
0.002796;2010-12-26;44.545
0.002996;2010-12-27;13.335
0.002796;2010-12-28;72.702
0.002796;2010-12-29;32.561
0.002496;2010-12-30;87.844
0.002796;2010-12-31;24.359
0.002796;2011-01-01;90.994
0.002796;2011-01-02;41.471
0.002796;2011-01-03;75.724
0.002796;2011-01-04;37.970
0.002796;2011-01-05;97.092
0.002896;2011-01-06;30.905
0.002897;2011-01-07;97.715
0.002898;2011-01-08;40.774
0.002899;2011-01-09;94.281
0.002696;2011-01-10;16.729
0.002796;2011-01-11;22.091
0.002996;2011-01-12;56.173
0.002796;2011-01-13;13.982
0.002796;2011-01-14;42.706
0.002496;2011-01-15;45.605
0.002796;2011-01-16;68.173
0.002796;2011-01-17;52.057
0.002796;2011-01-18;34.701
0.002796;2011-01-19;83.271
0.002796;2011-01-20;18.049
0.002796;2011-01-21;56.441
0.002896;2011-01-22;5.854
0.002897;2011-01-23;71.053
0.002898;2011-01-24;6.089
0.002899;2011-01-25;83.861
0.002696;2011-01-26;35.418
0.002796;2011-01-27;67.163
0.002996;2011-01-28;5.459
0.002796;2011-01-29;78.106
0.002796;2011-01-30;26.681
0.002496;2011-01-31;11.924
0.002796;2011-02-01;71.729
0.002796;2011-02-02;23.472
0.002796;2011-02-03;63.782
0.002796;2011-02-04;23.006
0.002796;2011-02-05;25.889
0.002796;2011-02-06;98.142
0.002896;2011-02-07;57.939
0.002897;2011-02-08;40.703
0.002898;2011-02-09;17.506
0.002899;2011-02-10;35.990
0.002696;2011-02-11;18.307
0.002796;2011-02-12;27.102
0.002996;2011-02-13;10.458
0.002796;2011-02-14;48.328
0.002796;2011-02-15;27.844
0.002496;2011-02-16;87.298
0.002796;2011-02-17;58.665
0.002796;2011-02-18;88.606
0.002796;2011-02-19;85.017
0.002796;2011-02-20;93.546
0.002796;2011-02-21;9.328
0.002796;2011-02-22;57.656
0.002896;2011-02-23;9.212
0.002897;2011-02-24;10.184
0.002898;2011-02-25;44.218
0.002899;2011-02-26;64.696
0.002696;2011-02-27;7.217
0.002796;2011-02-28;10.485
0.002996;2011-03-01;54.993
0.002796;2011-03-02;90.660
0.002796;2011-03-03;17.145
0.002496;2011-03-04;11.969
0.002796;2011-03-05;65.145
0.002796;2011-03-06;27.114
0.002796;2011-03-07;43.195
0.002796;2011-03-08;23.568
0.002796;2011-03-09;12.803
0.002796;2011-03-10;82.556
0.002896;2011-03-11;41.566
0.002897;2011-03-12;37.409
0.002898;2011-03-13;75.253
0.002899;2011-03-14;71.478
0.002696;2011-03-15;41.234
0.002796;2011-03-16;1.117
0.002996;2011-03-17;8.605
0.002796;2011-03-18;12.629
0.002796;2011-03-19;37.628
0.002496;2011-03-20;92.707
0.002796;2011-03-21;22.895
0.002796;2011-03-22;37.935
0.002796;2011-03-23;92.905
0.002796;2011-03-24;96.992
0.002796;2011-03-25;93.022
0.002796;2011-03-26;70.762
0.002896;2011-03-27;63.156
0.002897;2011-03-28;9.851
0.002898;2011-03-29;49.658
0.002899;2011-03-30;8.890
0.002696;2011-03-31;35.549
0.002796;2011-04-01;32.674
0.002996;2011-04-02;90.265
0.002796;2011-04-03;14.703
0.002796;2011-04-04;58.075
0.002496;2011-04-05;60.387
0.002796;2011-04-06;54.789
0.002796;2011-04-07;43.148
0.002796;2011-04-08;1.094
0.002796;2011-04-09;25.326
0.002796;2011-04-10;58.484
0.002796;2011-04-11;30.101
0.002896;2011-04-12;61.406
0.002897;2011-04-13;91.770
0.002898;2011-04-14;60.952
0.002899;2011-04-15;42.649
0.002696;2011-04-16;82.015
0.002796;2011-04-17;17.588
0.002996;2011-04-18;29.025
0.002796;2011-04-19;40.348
0.002796;2011-04-20;38.552
0.002496;2011-04-21;49.542
0.002796;2011-04-22;92.577
0.002796;2011-04-23;51.400
0.002796;2011-04-24;97.742
0.002796;2011-04-25;10.803
0.002796;2011-04-26;90.858
0.002796;2011-04-27;41.244
0.002896;2011-04-28;9.040
0.002897;2011-04-29;31.444
0.002898;2011-04-30;49.952
0.002899;2011-05-01;45.572
0.002696;2011-05-02;58.272
0.002796;2011-05-03;36.262
0.002996;2011-05-04;10.928
0.002796;2011-05-05;54.471
0.002796;2011-05-06;68.151
0.002496;2011-05-07;30.606
0.002796;2011-05-08;13.049
0.002796;2011-05-09;66.054
0.002796;2011-05-10;57.920
0.002796;2011-05-11;30.725
0.002796;2011-05-12;20.861
0.002796;2011-05-13;67.119
0.002896;2011-05-14;97.919
0.002897;2011-05-15;53.863
0.002898;2011-05-16;0.673
0.002899;2011-05-17;30.067
0.002696;2011-05-18;49.806
0.002796;2011-05-19;51.319
0.002996;2011-05-20;83.921
0.002796;2011-05-21;9.151
0.002796;2011-05-22;17.642
0.002496;2011-05-23;49.178
0.002796;2011-05-24;8.321
0.002796;2011-05-25;71.172
0.002796;2011-05-26;79.667
0.002796;2011-05-27;5.625
0.002796;2011-05-28;60.689
0.002796;2011-05-29;93.573
0.002896;2011-05-30;47.719
0.002897;2011-05-31;63.360
0.002898;2011-06-01;19.352
0.002899;2011-06-02;7.842
0.002696;2011-06-03;34.531
0.002796;2011-06-04;36.321
0.002996;2011-06-05;88.239
0.002796;2011-06-06;85.396
0.002796;2011-06-07;80.784
0.002496;2011-06-08;44.471
0.002796;2011-06-09;53.759
0.002796;2011-06-10;7.598
0.002796;2011-06-11;53.308
0.002796;2011-06-12;18.067
0.002796;2011-06-13;0.064
0.002796;2011-06-14;52.250
0.002896;2011-06-15;69.228
0.002897;2011-06-16;34.506
0.002898;2011-06-17;80.951
0.002899;2011-06-18;81.687
0.002696;2011-06-19;96.905
0.002796;2011-06-20;9.815
0.002996;2011-06-21;6.702
0.002796;2011-06-22;37.022
0.002796;2011-06-23;8.486
0.002496;2011-06-24;12.966
0.002796;2011-06-25;2.269
0.002796;2011-06-26;79.356
0.002796;2011-06-27;96.397
0.002796;2011-06-28;79.580
0.002796;2011-06-29;73.509
0.002796;2011-06-30;8.098
0.002896;2011-07-01;58.574
0.002897;2011-07-02;23.900
0.002898;2011-07-03;57.743
0.002899;2011-07-04;73.454
0.002696;2011-07-05;90.893
0.002796;2011-07-06;43.410
0.002996;2011-07-07;47.570
0.002796;2011-07-08;43.962
0.002796;2011-07-09;55.737
0.002496;2011-07-10;70.442
0.002796;2011-07-11;13.838
0.002796;2011-07-12;6.996
0.002796;2011-07-13;17.373
0.002796;2011-07-14;54.505
0.002796;2011-07-15;46.987
0.002796;2011-07-16;13.641
0.002896;2011-07-17;28.649
0.002897;2011-07-18;73.758
0.002898;2011-07-19;10.631
0.002899;2011-07-20;39.394
0.002696;2011-07-21;57.863
0.002796;2011-07-22;25.247
0.002996;2011-07-23;31.850
0.002796;2011-07-24;89.337
0.002796;2011-07-25;76.777
0.002496;2011-07-26;55.416
0.002796;2011-07-27;44.455
0.002796;2011-07-28;14.903
0.002796;2011-07-29;69.042
0.002796;2011-07-30;34.856
0.002796;2011-07-31;22.197
0.002796;2011-08-01;81.600
0.002896;2011-08-02;65.621
0.002897;2011-08-03;26.124
0.002898;2011-08-04;74.903
0.002899;2011-08-05;8.060
0.002696;2011-08-06;80.880
0.002796;2011-08-07;69.424
0.002996;2011-08-08;0.486
0.002796;2011-08-09;59.573
0.002796;2011-08-10;27.393
0.002496;2011-08-11;46.405
0.002796;2011-08-12;36.678
0.002796;2011-08-13;82.230
0.002796;2011-08-14;85.379
0.002796;2011-08-15;67.305
0.002796;2011-08-16;49.760
0.002796;2011-08-17;77.378
0.002896;2011-08-18;40.108
0.002897;2011-08-19;96.218
0.002898;2011-08-20;20.751
0.002899;2011-08-21;52.154
0.002696;2011-08-22;17.167
0.002796;2011-08-23;57.768
0.002996;2011-08-24;10.164
0.002796;2011-08-25;53.698
0.002796;2011-08-26;27.693
0.002496;2011-08-27;62.327
0.002796;2011-08-28;48.602
0.002796;2011-08-29;2.931
0.002796;2011-08-30;81.410
0.002796;2011-08-31;47.475
0.002796;2011-09-01;54.499
0.002796;2011-09-02;69.709
0.002896;2011-09-03;19.420
0.002897;2011-09-04;13.566
0.002898;2011-09-05;87.399
0.002899;2011-09-06;42.061
0.002696;2011-09-07;69.182
0.002796;2011-09-08;95.949
0.002996;2011-09-09;93.494
0.002796;2011-09-10;29.635
0.002796;2011-09-11;23.496
0.002496;2011-09-12;81.065
0.002796;2011-09-13;4.584
0.002796;2011-09-14;46.554
0.002796;2011-09-15;98.205
0.002796;2011-09-16;77.217
0.002796;2011-09-17;28.797
0.002796;2011-09-18;92.748
0.002896;2011-09-19;1.819
0.002897;2011-09-20;58.848
0.002898;2011-09-21;6.066
0.002899;2011-09-22;83.186
0.002696;2011-09-23;60.403
0.002796;2011-09-24;29.377
0.002996;2011-09-25;4.583
0.002796;2011-09-26;41.749
0.002796;2011-09-27;61.687
0.002496;2011-09-28;28.351
0.002796;2011-09-29;81.374
0.002796;2011-09-30;67.252
0.002796;2011-10-01;0.864
0.002796;2011-10-02;67.373
0.002796;2011-10-03;40.720
0.002796;2011-10-04;89.236
0.002896;2011-10-05;83.972
0.002897;2011-10-06;94.309
0.002898;2011-10-07;78.829
0.002899;2011-10-08;7.265
0.002696;2011-10-09;69.372
0.002796;2011-10-10;47.119
0.002996;2011-10-11;61.914
0.002796;2011-10-12;59.177
0.002796;2011-10-13;71.725
0.002496;2011-10-14;70.514
0.002796;2011-10-15;10.649
0.002796;2011-10-16;28.495
0.002796;2011-10-17;40.305
0.002796;2011-10-18;94.393
0.002796;2011-10-19;97.898
0.002796;2011-10-20;48.436
0.002896;2011-10-21;48.845
0.002897;2011-10-22;84.051
0.002898;2011-10-23;67.788
0.002899;2011-10-24;41.222
0.002696;2011-10-25;65.666
0.002796;2011-10-26;89.796
0.002996;2011-10-27;19.369
0.002796;2011-10-28;20.861
0.002796;2011-10-29;74.106
0.002496;2011-10-30;11.283
0.002796;2011-10-31;61.699
0.002796;2011-11-01;84.901
0.002796;2011-11-02;87.059
0.002796;2011-11-03;73.192
0.002796;2011-11-04;50.200
0.002796;2011-11-05;42.734
0.002896;2011-11-06;64.165
0.002897;2011-11-07;60.851
0.002898;2011-11-08;98.815
0.002899;2011-11-09;55.205
0.002696;2011-11-10;87.507
0.002796;2011-11-11;22.298
0.002996;2011-11-12;76.052
0.002796;2011-11-13;50.025
0.002796;2011-11-14;34.861
0.002496;2011-11-15;90.189
0.002796;2011-11-16;94.052
0.002796;2011-11-17;31.765
0.002796;2011-11-18;23.678
0.002796;2011-11-19;55.624
0.002796;2011-11-20;71.928
0.002796;2011-11-21;41.300
0.002896;2011-11-22;14.402
0.002897;2011-11-23;49.308
0.002898;2011-11-24;86.419
0.002899;2011-11-25;57.113
0.002696;2011-11-26;56.196
0.002796;2011-11-27;12.783
0.002996;2011-11-28;39.830
0.002796;2011-11-29;97.814
0.002796;2011-11-30;54.493
0.002496;2011-12-01;20.058
0.002796;2011-12-02;94.844
0.002796;2011-12-03;57.159
0.002796;2011-12-04;53.170
0.002796;2011-12-05;98.811
0.002796;2011-12-06;21.981
0.002796;2011-12-07;20.376
0.002896;2011-12-08;18.227
0.002897;2011-12-09;7.469
0.002898;2011-12-10;44.399
0.002899;2011-12-11;14.747
0.002696;2011-12-12;96.571
0.002796;2011-12-13;58.749
0.002996;2011-12-14;22.052
0.002796;2011-12-15;52.033
0.002796;2011-12-16;95.997
0.002496;2011-12-17;58.764
0.002796;2011-12-18;72.570
0.002796;2011-12-19;47.105
0.002796;2011-12-20;6.492
0.002796;2011-12-21;64.699
0.002796;2011-12-22;27.670
0.002796;2011-12-23;0.111
0.002896;2011-12-24;3.268
0.002897;2011-12-25;30.478
0.002898;2011-12-26;81.218
0.002899;2011-12-27;86.744
0.002696;2011-12-28;56.674
0.002796;2011-12-29;47.081
0.002996;2011-12-30;97.349
0.002796;2011-12-31;79.434
0.002796;2012-01-01;59.029
0.002496;2012-01-02;23.137
0.002796;2012-01-03;31.800
0.002796;2012-01-04;66.349
0.002796;2012-01-05;82.428
0.002796;2012-01-06;96.850
0.002796;2012-01-07;94.722
0.002796;2012-01-08;28.355
0.002896;2012-01-09;55.971
0.002897;2012-01-10;19.211
0.002898;2012-01-11;29.187
0.002899;2012-01-12;66.502
0.002696;2012-01-13;34.515
0.002796;2012-01-14;32.240
0.002996;2012-01-15;85.694
0.002796;2012-01-16;48.143
0.002796;2012-01-17;97.323
0.002496;2012-01-18;48.723
0.002796;2012-01-19;43.316
0.002796;2012-01-20;1.704
0.002796;2012-01-21;56.551
0.002796;2012-01-22;71.592
0.002796;2012-01-23;32.669
0.002796;2012-01-24;21.367
0.002896;2012-01-25;41.442
0.002897;2012-01-26;84.670
0.002898;2012-01-27;85.770
0.002899;2012-01-28;75.124
0.002696;2012-01-29;82.375
0.002796;2012-01-30;48.983
0.002996;2012-01-31;56.332
0.002796;2012-02-01;31.781
0.002796;2012-02-02;21.559
0.002496;2012-02-03;82.901
0.002796;2012-02-04;8.630
0.002796;2012-02-05;91.233
0.002796;2012-02-06;71.158
0.002796;2012-02-07;1.603
0.002796;2012-02-08;49.398
0.002796;2012-02-09;6.717
0.002896;2012-02-10;36.653
0.002897;2012-02-11;46.121
0.002898;2012-02-12;79.505
0.002899;2012-02-13;50.848
0.002696;2012-02-14;73.522
0.002796;2012-02-15;54.354
0.002996;2012-02-16;98.749
0.002796;2012-02-17;60.767
0.002796;2012-02-18;66.610
0.002496;2012-02-19;39.923
0.002796;2012-02-20;98.987
0.002796;2012-02-21;90.872
0.002796;2012-02-22;79.179
0.002796;2012-02-23;38.107
0.002796;2012-02-24;89.517
0.002796;2012-02-25;72.941
0.002896;2012-02-26;57.160
0.002897;2012-02-27;79.695
0.002898;2012-02-28;27.395
0.002899;2012-02-29;36.764
0.002696;2012-03-01;59.441
0.002796;2012-03-02;74.817
0.002996;2012-03-03;76.369
0.002796;2012-03-04;8.403
0.002796;2012-03-05;54.707
0.002496;2012-03-06;60.565
0.002796;2012-03-07;50.985
0.002796;2012-03-08;2.146
0.002796;2012-03-09;81.344
0.002796;2012-03-10;37.503
0.002796;2012-03-11;43.808
0.002796;2012-03-12;81.981
0.002896;2012-03-13;15.755
0.002897;2012-03-14;88.738
0.002898;2012-03-15;28.577
0.002899;2012-03-16;72.712
0.002696;2012-03-17;58.347
0.002796;2012-03-18;58.615
0.002996;2012-03-19;17.652
0.002796;2012-03-20;6.914
0.002796;2012-03-21;61.360
0.002496;2012-03-22;20.041
0.002796;2012-03-23;61.514
0.002796;2012-03-24;60.208
0.002796;2012-03-25;56.485
0.002796;2012-03-26;57.502
0.002796;2012-03-27;33.058
0.002796;2012-03-28;72.236
0.002896;2012-03-29;88.112
0.002897;2012-03-30;64.572
0.002898;2012-03-31;26.086
0.002899;2012-04-01;53.411
0.002696;2012-04-02;53.510
0.002796;2012-04-03;17.496
0.002996;2012-04-04;20.813
0.002796;2012-04-05;50.353
0.002796;2012-04-06;7.460
0.002496;2012-04-07;2.968
0.002796;2012-04-08;74.970
0.002796;2012-04-09;91.964
0.002796;2012-04-10;10.389
0.002796;2012-04-11;51.679
0.002796;2012-04-12;55.713
0.002796;2012-04-13;3.183
0.002896;2012-04-14;14.484
0.002897;2012-04-15;63.563
0.002898;2012-04-16;22.628
0.002899;2012-04-17;44.162
0.002696;2012-04-18;46.892
0.002796;2012-04-19;23.235
0.002996;2012-04-20;0.603
0.002796;2012-04-21;59.615
0.002796;2012-04-22;14.808
0.002496;2012-04-23;23.667
0.002796;2012-04-24;41.920
0.002796;2012-04-25;32.263
0.002796;2012-04-26;37.016
0.002796;2012-04-27;97.708
0.002796;2012-04-28;76.400
0.002796;2012-04-29;10.832
0.002896;2012-04-30;50.743
0.002897;2012-05-01;78.139
0.002898;2012-05-02;17.965
0.002899;2012-05-03;9.885
0.002696;2012-05-04;3.043
0.002796;2012-05-05;79.252
0.002996;2012-05-06;35.455
0.002796;2012-05-07;22.219
0.002796;2012-05-08;95.144
0.002496;2012-05-09;37.455
0.002796;2012-05-10;80.022
0.002796;2012-05-11;58.106
0.002796;2012-05-12;71.461
0.002796;2012-05-13;32.911
0.002796;2012-05-14;39.506
0.002796;2012-05-15;50.980
0.002896;2012-05-16;45.579
0.002897;2012-05-17;25.143
0.002898;2012-05-18;73.886
0.002899;2012-05-19;51.449
0.002696;2012-05-20;97.613
0.002796;2012-05-21;67.178
0.002996;2012-05-22;70.365
0.002796;2012-05-23;64.794
